13	3	14	422	0
18	3	37	422	0
30	3	20	422	0
28	3	8	422	0
38	3	32	422	0
35	3	12	422	0
9	3	26	422	0
17	3	0	422	0
7	3	1	422	0
25	3	10	422	0
17	3	37	423	0
38	3	10	423	0
25	3	14	423	0
35	3	0	423	0
7	3	32	423	0
9	3	1	423	0
30	3	12	423	0
13	3	20	423	0
18	3	8	423	0
28	3	26	423	0
14	3	7	424	0
26	3	38	424	0
32	3	28	424	0
1	3	25	424	0
8	3	30	424	0
10	3	35	424	0
0	3	18	424	0
20	3	17	424	0
12	3	13	424	0
37	3	9	424	0
20	3	10	425	0
0	3	32	425	0
14	3	18	425	0
35	3	38	425	0
1	3	26	425	0
12	3	28	425	0
25	3	9	425	0
17	3	30	425	0
7	3	8	425	0
13	3	37	425	0
10	3	7	426	0
8	3	20	426	0
18	3	35	426	0
30	3	13	426	0
38	3	17	426	0
9	3	0	426	0
37	3	14	426	0
32	3	1	426	0
26	3	12	426	0
28	3	25	426	0
9	3	17	427	0
10	3	0	427	0
18	3	13	427	0
37	3	7	427	0
26	3	20	427	0
8	3	35	427	0
38	3	14	427	0
30	3	25	427	0
28	3	1	427	0
32	3	12	427	0
12	3	9	428	0
13	3	38	428	0
17	3	18	428	0
25	3	8	428	0
7	3	30	428	0
0	3	26	428	0
20	3	32	428	0
14	3	10	428	0
35	3	28	428	0
1	3	37	428	0
18	3	12	429	0
28	3	13	429	0
10	3	1	429	0
26	3	17	429	0
30	3	35	429	0
9	3	7	429	0
38	3	0	429	0
8	3	14	429	0
32	3	25	429	0
37	3	20	429	0
35	3	18	430	0
25	3	28	430	0
0	3	9	430	0
14	3	37	430	0
7	3	10	430	0
13	3	30	430	0
1	3	32	430	0
17	3	38	430	0
20	3	8	430	0
12	3	26	430	0
38	3	28	431	0
9	3	38	432	0
35	3	14	433	0
20	3	35	434	0
35	3	13	435	0
14	3	9	436	0
35	3	25	437	0
9	3	35	438	0
14	3	13	439	0
30	3	14	440	0
14	3	25	441	0
7	3	14	442	0
14	3	28	443	0
18	3	32	444	0
28	3	10	444	0
25	3	12	444	0
17	3	14	444	0
35	3	1	444	0
7	3	20	444	0
13	3	0	444	0
30	3	26	444	0
9	3	8	444	0
38	3	37	444	0
