2000000	19780311
2000001	19870504
2000002	19830806
2000003	19770804
2000004	19780620
2000005	19851024
2000006	19820326
2000007	19900709
2000008	19860511
2000009	19830823
2000010	19840320
2000011	19890716
2000012	19800613
2000013	19790921
2000014	19840823
2000015	19821203
2000016	19790314
2000017	19811021
2000018	19890926
2000019	19831118
2000020	19840205
2000021	19840328
2000022	19850315
2000023	19911120
2000024	19881128
2000025	19800530
2000026	19870909
2000027	19861117
2000028	19871122
2000029	19810823
2000030	19861228
2000031	19890926
2000032	19850804
2000033	19840222
2000034	19731129
2000035	19770827
2000036	19900702
2000037	19810515
2000038	19810223
2000039	19810130
2000040	19801220
2000041	19820824
2000042	19870614
2000043	19840813
2000044	19850726
2000045	19790403
2000046	19851114
2000047	19771216
2000048	19860104
2000049	19820617
2000050	19840226
2000051	19880103
2000052	19820317
2000053	19820729
2000054	19780827
2000055	19860104
2000056	19801013
2000057	19870416
2000058	19840324
2000059	19840201
2000060	19820817
2000061	19790705
2000062	19851219
2000063	19840206
2000064	19850909
2000065	19810319
2000066	19730906
2000067	19790723
2000068	19841005
2000069	19810130
2000070	19870109
2000071	19770326
2000072	19860410
2000073	19791206
2000074	19840608
2000075	19810529
2000076	19880216
2000077	19831115
2000078	19920221
2000079	19801207
2000080	19870714
2000081	19841211
2000082	19860814
2000083	19860528
2000084	19810215
2000085	19830309
2000086	19830428
2000087	19801012
2000088	19830414
2000089	19771018
2000090	19790713
2000091	19790302
2000092	19810620
2000093	19800806
2000094	19770318
2000095	19840827
2000096	19720615
2000097	19891008
2000098	19890107
2000099	19850307
2000100	19870626
2000101	19860506
2000102	19780518
2000103	19821129
2000104	19820320
2000105	19810219
2000106	19820304
2000107	19830502
2000108	19790418
2000109	19770817
2000110	19850920
2000111	19870214
2000112	19740918
2000113	19810731
2000114	19760926
2000115	19840729
2000116	19850116
2000117	19860205
2000118	19810102
2000119	19830727
2000120	19791227
2000121	19741116
2000122	19881215
2000123	19800106
2000124	19840818
2000125	19821007
2000126	19841212
2000127	19831109
2000128	19791013
2000129	19881014
2000130	19750725
2000131	19810801
2000132	19860925
2000133	19850709
2000134	19800502
2000135	19800722
2000136	19870306
2000137	19871004
2000138	19860709
2000139	19811212
2000140	19830214
2000141	19790808
2000142	19870508
2000143	19850131
2000144	19890329
2000145	19840722
2000146	19800122
2000147	19701029
2000148	19870422
2000149	19801126
2000150	19830820
2000151	19831012
2000152	19830503
2000153	19810517
2000154	19780808
2000155	19810728
2000156	19760623
2000157	19791014
2000158	19780226
2000159	19840108
2000160	19801130
2000161	19820816
2000162	19810116
