2	1	5	469
16	2	15	469
26	1	30	469
18	0	38	469
12	2	11	469
14	1	19	469
20	0	24	469
13	2	35	469
32	1	0	469
37	1	28	469
37	0	38	470
13	1	0	470
2	1	30	470
14	2	15	470
32	1	5	470
12	1	19	470
20	0	11	470
26	2	35	470
16	0	28	470
18	1	24	470
15	2	26	471
0	0	37	471
11	2	13	471
5	1	12	471
19	1	2	471
24	1	16	471
38	0	32	471
35	1	18	471
28	2	14	471
30	0	20	471
38	1	16	472
11	0	32	472
35	0	12	472
19	0	20	472
15	0	13	472
5	0	37	472
28	0	26	472
30	1	18	472
0	2	14	472
24	0	2	472
18	1	19	473
37	1	15	473
13	2	24	473
14	1	30	473
12	1	0	473
32	0	28	473
20	1	5	473
2	1	11	473
16	0	35	473
26	0	38	473
19	1	37	474
2	1	0	474
13	0	26	474
12	0	32	474
11	0	14	474
5	0	30	474
18	0	28	474
24	2	15	474
20	1	16	474
35	0	38	474
26	1	18	475
30	1	19	475
37	0	2	475
0	0	35	475
38	1	5	475
14	0	20	475
28	0	24	475
32	0	13	475
16	1	11	475
15	2	12	475
16	2	12	476
0	1	19	476
37	0	11	476
26	0	20	476
14	0	35	476
38	0	2	476
28	0	13	476
30	0	24	476
32	1	18	476
15	1	5	476
18	1	15	477
13	0	37	477
2	1	16	477
5	1	0	477
11	0	30	477
35	0	28	477
19	0	38	477
24	2	14	477
20	0	32	477
12	2	26	477
26	1	5	478
28	1	19	478
32	0	24	478
0	2	18	478
37	0	20	478
38	1	12	478
15	0	11	478
14	0	2	478
30	2	35	478
16	0	13	478
12	1	15	479
13	0	32	479
11	1	16	479
20	0	14	479
5	0	38	479
19	0	30	479
2	0	37	479
18	1	26	479
24	0	28	479
35	1	0	479
38	0	28	480
24	1	5	480
20	0	2	480
16	1	26	480
30	0	13	480
32	0	35	480
18	1	12	480
14	0	37	480
0	2	15	480
11	1	19	480
2	0	32	481
15	0	38	481
13	0	20	481
37	1	16	481
12	1	30	481
5	2	18	481
19	2	24	481
35	2	11	481
28	1	0	481
26	2	14	481
16	0	32	482
13	1	12	482
38	0	20	482
14	1	5	482
28	2	11	482
0	1	30	482
26	0	24	482
35	2	2	482
37	2	18	482
15	1	19	482
32	1	15	483
12	1	28	483
2	2	26	483
30	1	37	483
24	0	38	483
11	1	0	483
18	2	14	483
5	1	16	483
19	0	13	483
20	2	35	483
38	0	11	484
0	0	20	484
15	0	30	484
28	1	5	484
16	1	18	484
26	0	32	484
35	1	19	484
13	2	2	484
37	0	24	484
14	1	12	484
12	0	37	485
32	2	14	485
11	2	26	485
18	0	13	485
19	1	16	485
24	1	0	485
5	0	35	485
30	0	38	485
2	1	15	485
20	0	28	485
35	0	24	486
28	2	15	486
11	1	5	486
0	0	38	486
16	0	30	486
37	1	26	486
18	0	20	486
19	0	32	486
12	0	2	486
13	2	14	486
26	1	0	487
5	1	19	487
32	1	37	487
14	1	16	487
2	2	18	487
30	0	28	487
20	1	12	487
24	1	11	487
38	2	13	487
15	2	35	487
13	0	11	488
37	1	0	488
32	0	38	488
26	1	15	488
16	1	24	488
14	2	28	488
18	0	35	488
12	1	5	488
2	1	19	488
20	0	30	488
35	2	26	489
28	0	37	489
38	2	18	489
5	0	32	489
15	1	16	489
24	0	20	489
11	1	12	489
0	0	13	489
30	0	2	489
19	2	14	489
18	1	30	490
20	1	19	490
16	0	38	490
12	2	35	490
37	1	5	490
13	1	15	490
14	1	0	490
26	2	28	490
2	0	24	490
32	0	11	490
30	2	14	491
5	0	20	491
38	2	26	491
11	2	2	491
15	0	37	491
19	1	18	491
24	0	13	491
0	2	12	491
28	0	32	491
35	1	16	491
37	1	35	492
16	1	0	492
20	2	15	492
18	0	11	492
26	1	19	492
14	0	38	492
32	0	30	492
12	0	24	492
13	1	5	492
2	0	28	492
15	2	14	493
24	1	18	493
5	0	2	493
19	1	12	493
38	0	37	493
35	0	13	493
11	0	20	493
0	0	32	493
38	0	37	493
15	2	14	493
30	2	26	493
30	2	26	493
28	1	16	493
0	0	32	493
11	0	20	493
24	1	18	493
5	0	2	493
19	1	12	493
35	0	13	493
28	1	16	493
