4845,469,Brighton & Hove Albion,Tottenham Hotspur,-:-,2021/2022,16
4827,469,Manchester City,Wolverhampton Wanderers,-:-,2021/2022,16
4828,469,Arsenal FC,Southampton FC,-:-,2021/2022,16
4859,469,Leicester City,Newcastle United,-:-,2021/2022,16
4860,469,Crystal Palace,Everton FC,-:-,2021/2022,16
4834,469,Chelsea FC,Leeds United,-:-,2021/2022,16
4846,469,Burnley FC,West Ham United,-:-,2021/2022,16
4835,469,Liverpool FC,Aston Villa,-:-,2021/2022,16
4844,469,Norwich City,Manchester United,-:-,2021/2022,16
4823,469,Brentford FC,Watford FC,-:-,2021/2022,16
4831,470,Norwich City,Aston Villa,-:-,2021/2022,17
4832,470,Manchester City,Leeds United,-:-,2021/2022,17
4826,470,Brentford FC,Manchester United,-:-,2021/2022,17
4839,470,Brighton & Hove Albion,Wolverhampton Wanderers,-:-,2021/2022,17
4853,470,Arsenal FC,West Ham United,-:-,2021/2022,17
4854,470,Leicester City,Tottenham Hotspur,-:-,2021/2022,17
4840,470,Burnley FC,Watford FC,-:-,2021/2022,17
4865,470,Chelsea FC,Everton FC,-:-,2021/2022,17
4866,470,Liverpool FC,Newcastle United,-:-,2021/2022,17
4852,470,Crystal Palace,Southampton FC,-:-,2021/2022,17
4856,471,West Ham United,Norwich City,-:-,2021/2022,18
4858,471,Everton FC,Leicester City,-:-,2021/2022,18
4843,471,Watford FC,Crystal Palace,-:-,2021/2022,18
4871,471,Wolverhampton Wanderers,Chelsea FC,-:-,2021/2022,18
4841,471,Aston Villa,Burnley FC,-:-,2021/2022,18
4872,471,Newcastle United,Manchester City,-:-,2021/2022,18
4873,471,Tottenham Hotspur,Liverpool FC,-:-,2021/2022,18
4857,471,Leeds United,Arsenal FC,-:-,2021/2022,18
4842,471,Southampton FC,Brentford FC,-:-,2021/2022,18
4833,471,Manchester United,Brighton & Hove Albion,-:-,2021/2022,18
4837,472,Aston Villa,Chelsea FC,-:-,2021/2022,19
4830,472,West Ham United,Southampton FC,-:-,2021/2022,19
4829,472,Tottenham Hotspur,Crystal Palace,-:-,2021/2022,19
4825,472,Norwich City,Arsenal FC,-:-,2021/2022,19
4824,472,Manchester City,Leicester City,-:-,2021/2022,19
4838,472,Brighton & Hove Albion,Brentford FC,-:-,2021/2022,19
