,wiki_team_url,name_x,Fullname,Nickname(s),Founded_x,Ground,Capacity,Owner,Chairman,Manager,League,2020–21,Website,Homecolours,Headcoach,Shortname,Coordinates,Architect,Expanded,Maincontractors,Renovated,HeadCoach,CEO,Owner(s),Joint-Chairman,Co-chairmen,Owners,Stadium,Anear-fullcapacity,Location,Opened,id,name_y,world_team_url,Country,Founded_y,stadium,Homepage,name,who_team_url
10,https://en.wikipedia.org/wiki/Burnley_FC,Burnley,BurnleyFootballClub,['TheClarets'],{'1882-05-18'},['TurfMoor'],21944,,AlanPace,['SeanDyche'],['PremierLeague'],"['PremierLeague', '17thof20']",https://www.burnleyfootballclub.com/,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,10,Burnley FC,https://www.worldfootball.net/teams/burnley-fc/,['England'],['01/01/1882'],['TurfMoor'],['https//www.burnleyfootballclub.com/'],Burnley,https://www.whoscored.com/Teams/184/Show/England-Burnley
11,https://en.wikipedia.org/wiki/Stoke_City,Stoke City,StokeCityFootballClub,['ThePotters'],"{'1868', '1863'}",['bet365Stadium'],30089,['bet365Group'],,"[""MichaelO'Neill""]",['EFLChampionship'],"['EFLChampionship', '14thof24']",https://www.stokecityfc.com/,['Awaycolours'],,['SCFC'],,,,,,,,,"['JohnCoates', 'and', 'PeterCoates']",,,,,,,11,Stoke City,https://www.worldfootball.net/teams/stoke-city/,['England'],['01/01/1863'],['bet365Stadium'],['https//www.stokecityfc.com/'],Stoke,https://www.whoscored.com/Teams/96/Show/England-Stoke
12,https://en.wikipedia.org/wiki/Portsmouth_FC,Portsmouth F.C.,PortsmouthFootballClub,['Pompey'],{'1898-04-05'},['FrattonPark'],20620,['TheTornanteCompany'],MichaelEisner,['DannyCowley'],['LeagueOne'],['8thoutof24'],http://www.portsmouthfc.co.uk,"['Awaycolours', 'Thirdcolours']",,,"['.mw-parser-output.geo-default.mw-parser-output.geo-dms.mw-parser-output.geo-dec{displayinline}.mw-parser-output.geo-nondefault.mw-parser-output.geo-multi-punct{displaynone}.mw-parser-output.longitude.mw-parser-output.latitude{white-spacenowrap}', '50°47′47″N', '1°3′50″W', '\ufeff/\ufeff', '50.79639°N1.06389°W', '\ufeff/', '50.79639;-1.06389', 'Coordinates', '50°47′47″N', '1°3′50″W', '\ufeff/\ufeff', '50.79639°N1.06389°W', '\ufeff/', '50.79639;-1.06389']",,,,,,,,,,,,,,,12,Portsmouth FC,https://www.worldfootball.net/teams/portsmouth-fc/,['England'],['05/04/1898'],['FrattonPark'],['www.portsmouthfc.co.uk'],Portsmouth,https://www.whoscored.com/Teams/169/Show/England-Portsmouth
13,https://en.wikipedia.org/wiki/Manchester_United,Manchester United,ManchesterUnitedFootballClub,['TheRedDevils'],"{'1902', '1878'}",['OldTrafford'],74140,"['ManchesterUnitedplc', '(', 'NYSE', '\xa0', 'MANU', ')']",,"['MichaelCarrick', '(interim)']",['PremierLeague'],"['PremierLeague', '2ndof20']",https://www.manutd.com/,"['Awaycolours', 'Thirdcolours']",,"['ManUnited/Utd', 'United']",,,,,,,,,,"['Joel', 'and', 'AvramGlazer']",,,,,,13,Manchester United,https://www.worldfootball.net/teams/manchester-united/,['England'],['01/03/1878'],['OldTrafford'],['www.manutd.com/'],Manchester United,https://www.whoscored.com/Teams/32/Show/England-Manchester-United
14,https://en.wikipedia.org/wiki/Chelsea_FC,Chelsea,ChelseaFootballClub,"['TheBlues', 'ThePensioners']",{'1905-03-10'},['StamfordBridge'],40834,['RomanAbramovich'],BruceBuck,,['PremierLeague'],"['PremierLeague', '4thof20']",http://www.chelseafc.com/,"['Awaycolours', 'Thirdcolours']",['ThomasTuchel'],['CFCCHE'],"['.mw-parser-output.geo-default.mw-parser-output.geo-dms.mw-parser-output.geo-dec{displayinline}.mw-parser-output.geo-nondefault.mw-parser-output.geo-multi-punct{displaynone}.mw-parser-output.longitude.mw-parser-output.latitude{white-spacenowrap}', '51°28′54″N', '0°11′28″W', '\ufeff/\ufeff', '51.48167°N0.19111°W', '\ufeff/', '51.48167;-0.19111', 'Coordinates', '51°28′54″N', '0°11′28″W', '\ufeff/\ufeff', '51.48167°N0.19111°W', '\ufeff/', '51.48167;-0.19111']",,,,,,,,,,,,,,,14,Chelsea FC,https://www.worldfootball.net/teams/chelsea-fc/,['England'],['14/03/1905'],['StamfordBridge'],['https//www.chelseafc.com/'],Chelsea,https://www.whoscored.com/Teams/15/Show/England-Chelsea
15,https://en.wikipedia.org/wiki/Everton_FC,Everton,EvertonFootballClub,"['TheBlues', 'TheToffees', ""ThePeople'sClub"", 'TheSchoolofScience']",{'1878'},['GoodisonPark'],39414,['FarhadMoshiri'],BillKenwright,['RafaelBenítez'],['PremierLeague'],"['PremierLeague', '10thof20']",http://www.evertonfc.com,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,15,Everton FC,https://www.worldfootball.net/teams/everton-fc/,['England'],['1878'],['GoodisonPark'],['www.evertonfc.com'],Everton,https://www.whoscored.com/Teams/31/Show/England-Everton
16,https://en.wikipedia.org/wiki/Newcastle_United,Newcastle United F.C.,NewcastleUnitedFootballClub,['TheMagpies'],{'9-12-1892'},"[""StJames'Park""]",52305,"['PublicInvestmentFund', '(80%)', 'RBSports&Media', '(10%)', 'PCPCapitalPartners', '(10%)']",YasirAl-Rumayyan,['EddieHowe'],['PremierLeague'],"['PremierLeague', '12thof20']",https://www.nufc.co.uk/,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,16,Newcastle United,https://www.worldfootball.net/teams/newcastle-united/,['England'],['01/01/1882'],"[""StJames'Park""]",['https//www.nufc.co.uk/'],Newcastle United,https://www.whoscored.com/Teams/23/Show/England-Newcastle-United
17,https://en.wikipedia.org/wiki/West_Bromwich_Albion,West Bromwich Albion,WestBromwichAlbionFootballClub,"['TheBaggies', 'TheThrostles', 'TheAlbion']",{'1878'},['TheHawthorns'],26688,['LaiGuochuan'],LiPiyue,,['EFLChampionship'],"['PremierLeague', '19thof20(relegated)']",http://www.wba.co.uk/,"['Awaycolours', 'Thirdcolours']",['ValérienIsmaël'],"['WBA', 'WestBrom', 'Albion']",,,,,,,,,,,,,,,,17,West Bromwich Albion,https://www.worldfootball.net/teams/west-bromwich-albion/,['England'],['01/01/1878'],['TheHawthorns'],['https//www.wba.co.uk/'],West Bromwich Albion,https://www.whoscored.com/Teams/175/Show/England-West-Bromwich-Albion
18,https://en.wikipedia.org/wiki/Bolton_Wanderers,Bolton Wanderers,BoltonWanderersFootballClub,['TheTrottersTheWanderersTheWhites'],{'1874'},['UniversityofBoltonStadium'],28723,['FootballVentures(Whites)Ltd'],SharonBrittan,['IanEvatt'],['EFLLeagueOne'],"['EFLLeagueTwo', '3rdof24(promoted)']",http://www.bwfc.co.uk,['Awaycolours'],,,,,,,,,,,,,,,,,,18,Bolton Wanderers,https://www.worldfootball.net/teams/bolton-wanderers/,['England'],['01/01/1874'],['UniversityofBoltonStadium'],['https//www.bwfc.co.uk/'],Bolton,https://www.whoscored.com/Teams/92/Show/England-Bolton
19,https://en.wikipedia.org/wiki/Arsenal_FC,Arsenal,TheArsenalFootballClub,"['TheGunners', 'TheArsenal']",set(),['EmiratesStadium'],60704,['KroenkeSports&Entertainment'],,['MikelArteta'],['PremierLeague'],"['PremierLeague', '8thof20']",https://www.arsenal.com,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,19,Arsenal FC,https://www.worldfootball.net/teams/arsenal-fc/,['England'],['01/10/1886'],['EmiratesStadium'],['https//www.arsenal.com/'],Arsenal,https://www.whoscored.com/Teams/13/Show/England-Arsenal
